bangla_token,total_count,unique_latin_variants,repeated_latin_variants,top_latin_variants,top_repeated_latin_variants
ব্যাংক,4,2,1,bank:3; acocunt:1,bank:3
বিন,4,2,1,bin:3; bln:1,bin:3
বাল,4,2,1,bal:3; baal:1,bal:3
বাটন,4,2,1,button:3; buttom:1,button:3
বলেছি,4,2,1,bolechi:3; bolesi:1,bolechi:3
বলসেন,4,2,1,bolsen:3; bolcen:1,bolsen:3
বলব,4,2,1,bolbo:3; bolba:1,bolbo:3
প্রুফ,4,2,1,proof:3; prove:1,proof:3
প্রথম,4,2,1,prothom:3; protom:1,prothom:3
পাইসেন,4,2,1,paisen:3; paicen:1,paisen:3
পাইছে,4,2,1,paice:3; paiche:1,paice:3
নিজেই,4,2,1,nijei:3; nijai:1,nijei:3
নিচে,4,2,1,niche:3; necha:1,niche:3
দেব,4,2,1,debo:3; dibo:1,debo:3
দিয়েছি,4,2,1,diyechi:3; diaci:1,diyechi:3
দিকে,4,2,1,dike:3; dika:1,dike:3
তারিখ,4,2,1,tarik:3; tarikh:1,tarik:3
ডিসএবল,4,2,1,disable:3; desable:1,disable:3
ডিফল্ট,4,2,1,default:3; defult:1,default:3
ডাইরেক্ট,4,2,1,direct:3; hola:1,direct:3
ট্রেইনার,4,2,1,trainer:3; treinar:1,trainer:3
জায়গায়,4,2,1,jaigai:3; jaygay:1,jaigai:3
চেয়ে,4,2,1,cheye:3; ceye:1,cheye:3
চেপে,4,2,1,cepe:3; chepe:1,cepe:3
চার্জ,4,2,1,charge:3; chrg:1,charge:3
গেল,4,2,1,gelo:3; galo:1,gelo:3
খুলুন,4,2,1,khulun:3; khulon:1,khulun:3
ক্রিয়েট,4,2,1,create:3; creat:1,create:3
কোম্পানি,4,2,1,company:3; comany:1,company:3
কালার,4,2,1,color:3; colour:1,color:3
কম্পিউটার,4,2,1,computer:3; cumputer:1,computer:3
ওয়েব,4,2,1,web:3; simple:1,web:3
ওয়ে,4,2,1,way:3; ber:1,way:3
এমটিকে,4,2,1,mtk:3; mtk6592:1,mtk:3
একদম,4,2,1,ekdom:3; ek:1,ekdom:3
উৎসাহ,4,2,1,utsaho:3; a:1,utsaho:3
উপায়,4,2,1,upay:3; upai:1,upay:3
ইউনিক,4,2,1,unique:3; uniqe:1,unique:3
আবুল,4,2,1,abul:3; abu:1,abul:3
আওয়ার,4,2,1,hour:3; our:1,hour:3
অ্যাডস,4,2,1,ads:3; adds:1,ads:3
অটোমেটিক,4,2,1,automatic:3; otomatic:1,automatic:3
৪০৪,3,2,1,404:2; e:1,404:2
১৫০,3,2,1,150:2; 250:1,150:2
হ্যালো,3,2,1,hello:2; hellooo:1,hello:2
হোয়াটস্যাপ,3,2,1,whatsapp:2; whattsapp:1,whatsapp:2
হাউ,3,2,1,how:2; haoo:1,how:2
হবেই,3,2,1,hobei:2; hobai:1,hobei:2
হইয়া,3,2,1,hoia:2; hoiya:1,hoia:2
হইতে,3,2,1,hoite:2; hoita:1,hoite:2
সেগুলো,3,2,1,segolo:2; segulo:1,segolo:2
সামনে,3,2,1,samne:2; shamne:1,samne:2
সাজেশন,3,2,1,suggestion:2; sajetion:1,suggestion:2
সহজ,3,2,1,sohoj:2; source:1,sohoj:2
সঠিক,3,2,1,sothik:2; sotik:1,sothik:2
শেয়ারিং,3,2,1,sharing:2; shareing:1,sharing:2
লিমিটেড,3,2,1,limited:2; er:1,limited:2
লাইসেন্স,3,2,1,licence:2; license:1,licence:2
রেখে,3,2,1,rekhe:2; rakhe:1,rekhe:2
রিমুভ,3,2,1,remove:2; rimove:1,remove:2
রিকোয়েস্ট,3,2,1,request:2; requst:1,request:2
রাখতে,3,2,1,rakhte:2; rakte:1,rakhte:2
রাইট,3,2,1,right:2; droid:1,right:2
যোগাযোগ,3,2,1,jogajog:2; sathe:1,jogajog:2
যেহেতু,3,2,1,jehetu:2; jeheto:1,jehetu:2
যাও,3,2,1,jau:2; jaw:1,jau:2
মোবাইলের,3,2,1,mobiler:2; ar:1,mobiler:2
মার্শাম্যালো,3,2,1,marshmallow:2; marmallow:1,marshmallow:2
মডারেটর,3,2,1,moderator:2; modarator:1,moderator:2
ভুলে,3,2,1,vule:2; bhule:1,vule:2
ভি,3,2,1,v:2; vpn:1,v:2
ব্যান,3,2,1,ban:2; band:1,ban:2
বোমবিং,3,2,1,bombing:2; boombing:1,bombing:2
বিটকয়েন,3,2,1,bitcoin:2; apnar:1,bitcoin:2
বাড়ানো,3,2,1,barano:2; baramo:1,barano:2
বাচ্চা,3,2,1,baccha:2; bachha:1,baccha:2
বলো,3,2,1,bolo:2; blo:1,bolo:2
বলছি,3,2,1,bolchi:2; bolsi:1,bolchi:2
ফাউল,3,2,1,faul:2; foul:1,faul:2
ফর্ম,3,2,1,form:2; from:1,form:2
প্রুভ,3,2,1,prove:2; pruv:1,prove:2
প্রতিদিন,3,2,1,protidin:2; potidin:1,protidin:2
পেস্ট,3,2,1,paste:2; past:1,paste:2
পেলে,3,2,1,pele:2; peke:1,pele:2
পেতাম,3,2,1,petam:2; patam:1,petam:2
পাশে,3,2,1,pashe:2; pase:1,pashe:2
পারসি,3,2,1,parsi:2; parci:1,parsi:2
পারতেসি,3,2,1,partesi:2; parteci:1,partesi:2
পাওয়ার,3,2,1,power:2; pawar:1,power:2
পাইসে,3,2,1,paice:2; paise:1,paice:2
ধুর,3,2,1,dhur:2; dur:1,dhur:2
ধরনের,3,2,1,dhoroner:2; doroner:1,dhoroner:2
দেশের,3,2,1,deser:2; desher:1,deser:2
দেবো,3,2,1,debo:2; deboo:1,debo:2
দুইটা,3,2,1,duita:2; 2:1,duita:2
দিয়েছে,3,2,1,diyeche:2; diyache:1,diyeche:2
দিসেন,3,2,1,disen:2; dicen:1,disen:2
দিচ্ছে,3,2,1,dicche:2; disse:1,dicche:2
থাকেন,3,2,1,thaken:2; hoye:1,thaken:2
থাকি,3,2,1,thaki:2; tki:1,thaki:2
তোমাকে,3,2,1,tumake:2; tomak:1,tumake:2
তৈরি,3,2,1,toiri:2; toiry:1,toiri:2
তেমন,3,2,1,temon:2; temn:1,temon:2
তাকে,3,2,1,take:2; tke:1,take:2
ডে,3,2,1,day:2; re:1,day:2
ডার্ক,3,2,1,dark:2; drak:1,dark:2
ঠিকানা,3,2,1,thikana:2; tikana:1,thikana:2
টেক্সট,3,2,1,text:2; textnow:1,text:2
টুকু,3,2,1,tuku:2; tuko:1,tuku:2
টাকার,3,2,1,takar:2; tkar:1,takar:2
চায়,3,2,1,chai:2; cai:1,chai:2
চায়,3,2,1,chay:2; chai:1,chay:2
খেলা,3,2,1,khela:2; ta:1,khela:2
খায়,3,2,1,khai:2; khay:1,khai:2
কয়েক,3,2,1,koyek:2; koeyek:1,koyek:2
কয়টা,3,2,1,koita:2; koyta:1,koita:2
কোথাকার,3,2,1,kothakar:2; kuthakar:1,kothakar:2
কিবোর্ড,3,2,1,keyboard:2; kayboard:1,keyboard:2
কিনলে,3,2,1,kinle:2; kinlei:1,kinle:2
কাউকে,3,2,1,kauke:2; kawke:1,kauke:2
করেছিলাম,3,2,1,korechilam:2; korecilam:1,korechilam:2
করেও,3,2,1,koreo:2; koreu:1,koreo:2
কয়,3,2,1,koy:2; koi:1,koy:2
কন্ট্রোল,3,2,1,control:2; ctrl:1,control:2
কখন,3,2,1,kokhon:2; kokhn:1,kokhon:2
ওয়াও,3,2,1,wow:2; woow:1,wow:2
এবং,3,2,1,ebong:2; abong:1,ebong:2
এক্সচেঞ্জ,3,2,1,exchange:2; plz:1,exchange:2
উপরের,3,2,1,uporer:2; upore:1,uporer:2
আরেক,3,2,1,arek:2; aarek:1,arek:2
আমিতো,3,2,1,amito:2; ami:1,amito:2
আমায়,3,2,1,amay:2; amai:1,amay:2
আপনাকেও,3,2,1,apnakeo:2; apmakew:1,apnakeo:2
আইপি,3,2,1,ip:2; vabe:1,ip:2
ট্রাই,95,1,1,try:95,try:95
ইউস,45,1,1,use:45,use:45
পিসি,26,1,1,pc:26,pc:26
অন,24,1,1,on:24,on:24
গেম,22,1,1,game:22,game:22
ইনস্টল,22,1,1,install:22,install:22
রোম,21,1,1,rom:21,rom:21
০,19,1,1,0:19,0:19
হত,19,1,1,hoto:19,hoto:19
সিম,19,1,1,sim:19,sim:19
ডাটা,19,1,1,data:19,data:19
আরো,19,1,1,aro:19,aro:19
হতো,17,1,1,hoto:17,hoto:17
রিকভারি,17,1,1,recovery:17,recovery:17
ফ্রী,17,1,1,free:17,free:17
পারবো,17,1,1,parbo:17,parbo:17
তা,17,1,1,ta:17,ta:17
যারা,16,1,1,jara:16,jara:16
ওয়াইফাই,16,1,1,wifi:16,wifi:16
ওপেন,16,1,1,open:16,open:16
নাম,15,1,1,nam:15,nam:15
ইমেইল,15,1,1,email:15,email:15
পেজ,14,1,1,page:14,page:14
মাঝে,13,1,1,majhe:13,majhe:13
ব্রাদার,13,1,1,brother:13,brother:13
পোর্ট,13,1,1,port:13,port:13
নিজে,13,1,1,nije:13,nije:13
জানাবেন,13,1,1,janaben:13,janaben:13
কারো,13,1,1,karo:13,karo:13
কইরা,13,1,1,koira:13,koira:13
ইউসি,13,1,1,uc:13,uc:13
আবাল,13,1,1,abal:13,abal:13
৬,12,1,1,6:12,6:12
রেম,12,1,1,ram:12,ram:12
মেনি,12,1,1,many:12,many:12
বলুন,12,1,1,bolun:12,bolun:12
পিক,12,1,1,pic:12,pic:12
পার্ট,12,1,1,part:12,part:12
ওয়েবসাইট,12,1,1,website:12,website:12
অফার,12,1,1,offer:12,offer:12
৭,11,1,1,7:11,7:11
সো,11,1,1,so:11,so:11
গ্রুপ,11,1,1,group:11,group:11
কেটে,11,1,1,kete:11,kete:11
কানেক্টেড,11,1,1,connected:11,connected:11
অর,11,1,1,or:11,or:11
দিলেন,10,1,1,dilen:10,dilen:10
ওল্ড,10,1,1,old:10,old:10
এসএস,10,1,1,ss:10,ss:10
আমিও,10,1,1,amio:10,amio:10
আমারও,10,1,1,amaro:10,amaro:10
অনলি,10,1,1,only:10,only:10
স্টার্ট,9,1,1,start:9,start:9
রবি,9,1,1,robi:9,robi:9
যাদের,9,1,1,jader:9,jader:9
বাংলা,9,1,1,bangla:9,bangla:9
ফটো,9,1,1,photo:9,photo:9
নি,9,1,1,ni:9,ni:9
থিম,9,1,1,theme:9,theme:9
উইজ,9,1,1,use:9,use:9
ইন,9,1,1,in:9,in:9
ইট,9,1,1,it:9,it:9
অ্যান্ড্রয়েড,9,1,1,android:9,android:9
৫৬৬,8,1,1,566:8,566:8
হোক,8,1,1,hok:8,hok:8
সেটিং,8,1,1,setting:8,setting:8
লগইন,8,1,1,login:8,login:8
নিব,8,1,1,nibo:8,nibo:8
ডিটেলস,8,1,1,details:8,details:8
জিপ,8,1,1,zip:8,zip:8
কিনতে,8,1,1,kinte:8,kinte:8
ওয়ে,8,1,1,way:8,way:8
ওয়ার্কিং,8,1,1,working:8,working:8
১টা,7,1,1,1ta:7,1ta:7
স্যামসাঙ,7,1,1,samsung:7,samsung:7
লোকেশন,7,1,1,location:7,location:7
লেখা,7,1,1,lekha:7,lekha:7
মেক,7,1,1,make:7,make:7
মেইন,7,1,1,main:7,main:7
মজা,7,1,1,moja:7,moja:7
প্রো,7,1,1,pro:7,pro:7
প্রিমিয়াম,7,1,1,premium:7,premium:7
প্রিমিয়াম,7,1,1,premium:7,premium:7
পেয়ে,7,1,1,peye:7,peye:7
নতুন,7,1,1,notun:7,notun:7
জানতে,7,1,1,jante:7,jante:7
জন,7,1,1,jon:7,jon:7
গেলো,7,1,1,gelo:7,gelo:7
খুঁজে,7,1,1,khuje:7,khuje:7
কিনা,7,1,1,kina:7,kina:7
কার,7,1,1,kar:7,kar:7
কাজের,7,1,1,kajer:7,kajer:7
কাইন্ডলি,7,1,1,kindly:7,kindly:7
ওয়েব,7,1,1,web:7,web:7
উইথড্র,7,1,1,withdraw:7,withdraw:7
ইডিট,7,1,1,edit:7,edit:7
আনরুট,7,1,1,unroot:7,unroot:7
অনেকেই,7,1,1,onekei:7,onekei:7
৯,6,1,1,9:6,9:6
২০০,6,1,1,200:6,200:6
১৮,6,1,1,18:6,18:6
সেল,6,1,1,sell:6,sell:6
লিখে,6,1,1,likhe:6,likhe:6
লগ,6,1,1,log:6,log:6
লক,6,1,1,lock:6,lock:6
রা,6,1,1,ra:6,ra:6
যার,6,1,1,jar:6,jar:6
যাবেন,6,1,1,jaben:6,jaben:6
বললেন,6,1,1,bollen:6,bollen:6
বললে,6,1,1,bolle:6,bolle:6
বললাম,6,1,1,bollam:6,bollam:6
বলতেন,6,1,1,bolten:6,bolten:6
ফন্ট,6,1,1,font:6,font:6
প্রাইস,6,1,1,price:6,price:6
প্রক্সি,6,1,1,proxy:6,proxy:6
পেন্ডিং,6,1,1,pending:6,pending:6
পসিবল,6,1,1,possible:6,possible:6
নিলাম,6,1,1,nilam:6,nilam:6
নিবে,6,1,1,nibe:6,nibe:6
দেখা,6,1,1,dekha:6,dekha:6
দিনের,6,1,1,diner:6,diner:6
তাড়াতাড়ি,6,1,1,taratari:6,taratari:6
ড্রাইভ,6,1,1,drive:6,drive:6
ডোমেইন,6,1,1,domain:6,domain:6
ডেইলি,6,1,1,daily:6,daily:6
ডায়াল,6,1,1,dial:6,dial:6
টাও,6,1,1,tao:6,tao:6
টাই,6,1,1,tai:6,tai:6
টপিক,6,1,1,topic:6,topic:6
খুলতে,6,1,1,khulte:6,khulte:6
কয়েনবেস,6,1,1,coinbase:6,coinbase:6
ক্রিয়েট,6,1,1,create:6,create:6
কাহিনী,6,1,1,kahini:6,kahini:6
কারণে,6,1,1,karone:6,karone:6
কানেকশন,6,1,1,connection:6,connection:6
ওয়েট,6,1,1,wait:6,wait:6
ওয়ার্ডেপ্রেস,6,1,1,wordpress:6,wordpress:6
ওয়ার্কিং,6,1,1,working:6,working:6
ওরা,6,1,1,ora:6,ora:6
এয়ারটেল,6,1,1,airtel:6,airtel:6
আলাদা,6,1,1,alada:6,alada:6
আমরা,6,1,1,amra:6,amra:6
অফলাইন,6,1,1,offline:6,offline:6
অটো,6,1,1,auto:6,auto:6
৫১২,5,1,1,512:5,512:5
৫০,5,1,1,50:5,50:5
১৬,5,1,1,16:5,16:5
১৫,5,1,1,15:5,15:5
১৩,5,1,1,13:5,13:5
১২,5,1,1,12:5,12:5
হইলো,5,1,1,hoilo:5,hoilo:5
সিওসি,5,1,1,coc:5,coc:5
সাউন্ড,5,1,1,sound:5,sound:5
লাইট,5,1,1,lite:5,lite:5
রিস্টার্ট,5,1,1,restart:5,restart:5
যা,5,1,1,ja:5,ja:5
মান্থ,5,1,1,month:5,month:5
মড,5,1,1,mod:5,mod:5
ভিতর,5,1,1,vitor:5,vitor:5
ব্রাউজার,5,1,1,browser:5,browser:5
বাদে,5,1,1,bade:5,bade:5
বাঁশ,5,1,1,bash:5,bash:5
বট,5,1,1,bot:5,bot:5
ফাউন্ড,5,1,1,found:5,found:5
প্লেস্টোর,5,1,1,playstore:5,playstore:5
পেতে,5,1,1,pete:5,pete:5
পুরা,5,1,1,pura:5,pura:5
পাবলিশড,5,1,1,published:5,published:5
পাইনি,5,1,1,paini:5,paini:5
পর্যন্ত,5,1,1,porjonto:5,porjonto:5
নোকিয়া,5,1,1,nokia:5,nokia:5
দিলাম,5,1,1,dilam:5,dilam:5
থাকলেও,5,1,1,thakleo:5,thakleo:5
তোরে,5,1,1,tore:5,tore:5
জাভা,5,1,1,java:5,java:5
চাইলে,5,1,1,chaile:5,chaile:5
গো,5,1,1,go:5,go:5
গেমস,5,1,1,games:5,games:5
গিয়ে,5,1,1,giye:5,giye:5
গিফট,5,1,1,gift:5,gift:5
কোয়ালিটি,5,1,1,quality:5,quality:5
কাজে,5,1,1,kaje:5,kaje:5
করলেও,5,1,1,korleo:5,korleo:5
করতাম,5,1,1,kortam:5,kortam:5
ওয়েবসাইট,5,1,1,website:5,website:5
ওয়াও,5,1,1,wow:5,wow:5
এড্রেস,5,1,1,address:5,address:5
একি,5,1,1,aki:5,aki:5
একটিভ,5,1,1,active:5,active:5
ইসি,5,1,1,easy:5,easy:5
আর্ন,5,1,1,earn:5,earn:5
৫০০০,4,1,1,5000:4,5000:4
৫০০,4,1,1,500:4,500:4
১২১,4,1,1,121:4,121:4
হমমম,4,1,1,hmmm:4,hmmm:4
স্পাম,4,1,1,spam:4,spam:4
স্ক্রিপ্ট,4,1,1,script:4,script:4
স্ক্যাম,4,1,1,scam:4,scam:4
সেন্ড,4,1,1,send:4,send:4
সিলেক্ট,4,1,1,select:4,select:4
সিউর,4,1,1,sure:4,sure:4
সার্ভিস,4,1,1,service:4,service:4
সাইন,4,1,1,sign:4,sign:4
রেজাল্ট,4,1,1,result:4,result:4
যান,4,1,1,jan:4,jan:4
যাই,4,1,1,jai:4,jai:4
মেমরি,4,1,1,memory:4,memory:4
মিনিমাম,4,1,1,minimum:4,minimum:4
মাচ,4,1,1,much:4,much:4
ভেরি,4,1,1,very:4,very:4
ভাবেই,4,1,1,vabei:4,vabei:4
ব্যালান্স,4,1,1,balance:4,balance:4
বোনাস,4,1,1,bonus:4,bonus:4
বোকা,4,1,1,boka:4,boka:4
বেস্ট,4,1,1,best:4,best:4
বিস্তারিত,4,1,1,bistarito:4,bistarito:4
বিক্রি,4,1,1,bikri:4,bikri:4
বানাবো,4,1,1,banabo:4,banabo:4
বস,4,1,1,boss:4,boss:4
বলার,4,1,1,bolar:4,bolar:4
বলা,4,1,1,bola:4,bola:4
বড়,4,1,1,boro:4,boro:4
বক্স,4,1,1,box:4,box:4
বই,4,1,1,boi:4,boi:4
ফলো,4,1,1,follow:4,follow:4
প্লাস,4,1,1,plus:4,plus:4
পেজা,4,1,1,payza:4,payza:4
পেইড,4,1,1,paid:4,paid:4
পাস,4,1,1,pass:4,pass:4
পারিনি,4,1,1,parini:4,parini:4
পাব,4,1,1,pabo:4,pabo:4
নেটফ্লিক্স,4,1,1,netflix:4,netflix:4
নেইম,4,1,1,name:4,name:4
নিয়ম,4,1,1,niyom:4,niyom:4
নিবো,4,1,1,nibo:4,nibo:4
নিন,4,1,1,nin:4,nin:4
দিয়েন,4,1,1,diyen:4,diyen:4
ডিভাইস,4,1,1,device:4,device:4
ট্রিক্স,4,1,1,tricks:4,tricks:4
টিউটোরিয়াল,4,1,1,tutorial:4,tutorial:4
টানেল,4,1,1,tunnel:4,tunnel:4
টাকায়,4,1,1,takay:4,takay:4
জানেন,4,1,1,janen:4,janen:4
জানানোর,4,1,1,jananor:4,jananor:4
চালিয়ে,4,1,1,chaliye:4,chaliye:4
খুশি,4,1,1,khusi:4,khusi:4
কিনে,4,1,1,kine:4,kine:4
করেই,4,1,1,korei:4,korei:4
করবা,4,1,1,korba:4,korba:4
কমান্ড,4,1,1,command:4,command:4
কন্টাক্ট,4,1,1,contact:4,contact:4
কইরেন,4,1,1,koiren:4,koiren:4
এয়ারটেল,4,1,1,airtel:4,airtel:4
এপ্প্রুভ,4,1,1,approve:4,approve:4
এন্স,4,1,1,ans:4,ans:4
এডিটর,4,1,1,editor:4,editor:4
এডিট,4,1,1,edit:4,edit:4
এক্টিভ,4,1,1,active:4,active:4
এইচডি,4,1,1,hd:4,hd:4
উইন,4,1,1,win:4,win:4
ইওর,4,1,1,your:4,your:4
আল্লাহ,4,1,1,allah:4,allah:4
আর্টিকেল,4,1,1,article:4,article:4
আইএমজি,4,1,1,img:4,img:4
অফিসিয়াল,4,1,1,official:4,official:4
২০১৭,3,1,1,2017:3,2017:3
২জিবি,3,1,1,2gb:3,2gb:3
১০৩,3,1,1,103:3,103:3
১জিবি,3,1,1,1gb:3,1gb:3
হ্যাকিং,3,1,1,hacking:3,hacking:3
হুয়াওয়ে,3,1,1,huawei:3,huawei:3
হাহা,3,1,1,haha:3,haha:3
হাতে,3,1,1,hate:3,hate:3
স্টাইল,3,1,1,style:3,style:3
সি১,3,1,1,c1:3,c1:3
সিরিজ,3,1,1,series:3,series:3
সাবমিট,3,1,1,submit:3,submit:3
সাবজেক্ট,3,1,1,subject:3,subject:3
সফটওয়্যার,3,1,1,software:3,software:3
সফটওয়্যার,3,1,1,software:3,software:3
শিখতে,3,1,1,sikhte:3,sikhte:3
শর্ট,3,1,1,short:3,short:3
লোগো,3,1,1,logo:3,logo:3
লেখেন,3,1,1,lekhen:3,lekhen:3
লিমিট,3,1,1,limit:3,limit:3
লিখা,3,1,1,likha:3,likha:3
লাস্ট,3,1,1,last:3,last:3
লাগবো,3,1,1,lagbo:3,lagbo:3
লাক,3,1,1,luck:3,luck:3
রোবট,3,1,1,robot:3,robot:3
রেগুলার,3,1,1,regular:3,regular:3
রুটেড,3,1,1,rooted:3,rooted:3
রিসেট,3,1,1,reset:3,reset:3
রিপোর্টেড,3,1,1,reported:3,reported:3
রিচার্জ,3,1,1,recharge:3,recharge:3
রাখি,3,1,1,rakhi:3,rakhi:3
রাখা,3,1,1,rakha:3,rakha:3
যাবো,3,1,1,jabo:3,jabo:3
যাতে,3,1,1,jate:3,jate:3
মেগা,3,1,1,mega:3,mega:3
মেইবি,3,1,1,maybe:3,maybe:3
মিস্টার,3,1,1,mr:3,mr:3
মিলে,3,1,1,mile:3,mile:3
মাস্টারকার্ড,3,1,1,mastercard:3,mastercard:3
মার্কেটিং,3,1,1,marketing:3,marketing:3
ভিসিট,3,1,1,visit:3,visit:3
ভিন্ন,3,1,1,vinno:3,vinno:3
ভিজিট,3,1,1,visit:3,visit:3
ভাগ,3,1,1,vag:3,vag:3
ব্যানড,3,1,1,banned:3,banned:3
ব্যাটারী,3,1,1,battery:3,battery:3
বায়ার,3,1,1,buyer:3,buyer:3
বানাতে,3,1,1,banate:3,banate:3
বাড়ি,3,1,1,bari:3,bari:3
বাড়ানোর,3,1,1,baranor:3,baranor:3
বাগ,3,1,1,bug:3,bug:3
বইলেন,3,1,1,boilen:3,boilen:3
ফ্রেন্ডস,3,1,1,friends:3,friends:3
ফোল্ডার,3,1,1,folder:3,folder:3
ফরমেট,3,1,1,format:3,format:3
ফকির,3,1,1,fokir:3,fokir:3
পয়েন্ট,3,1,1,point:3,point:3
প্লাগিন,3,1,1,plugin:3,plugin:3
প্রোফাইল,3,1,1,profile:3,profile:3
প্রসেসর,3,1,1,processor:3,processor:3
প্রথমে,3,1,1,prothome:3,prothome:3
প্যাচ,3,1,1,patch:3,patch:3
পুরাই,3,1,1,purai:3,purai:3
পারমিশন,3,1,1,permission:3,permission:3
পারবে,3,1,1,parbe:3,parbe:3
পারফেক্ট,3,1,1,perfect:3,perfect:3
পরের,3,1,1,porer:3,porer:3
নোটিফিকেশন,3,1,1,notification:3,notification:3
নিড,3,1,1,need:3,need:3
নই,3,1,1,noi:3,noi:3
দেয়ার,3,1,1,deyar:3,deyar:3
দেখবো,3,1,1,dekhbo:3,dekhbo:3
দেখব,3,1,1,dekhbo:3,dekhbo:3
দিয়েই,3,1,1,diyei:3,diyei:3
দিমু,3,1,1,dimu:3,dimu:3
দিতাম,3,1,1,ditam:3,ditam:3
তোমাদের,3,1,1,tumader:3,tumader:3
তৈরী,3,1,1,toiri:3,toiri:3
তিনটা,3,1,1,3ta:3,3ta:3
তাড়াতাড়ি,3,1,1,taratari:3,taratari:3
তাইতো,3,1,1,taito:3,taito:3
ড্রোইড,3,1,1,droid:3,droid:3
ডেইজ,3,1,1,days:3,days:3
ডিপোজিট,3,1,1,deposit:3,deposit:3
ডায়াল,3,1,1,dial:3,dial:3
ডান,3,1,1,done:3,done:3
ডব্লিউ৬৮কিউ,3,1,1,w68q:3,w68q:3
ট্র্যাশ,3,1,1,trash:3,trash:3
ট্রেনার,3,1,1,trainer:3,trainer:3
ট্রাস্টেড,3,1,1,trusted:3,trusted:3
ট্রাস্ট,3,1,1,trust:3,trust:3
টেস্ট,3,1,1,test:3,test:3
টার্গেট,3,1,1,target:3,target:3
টাইপ,3,1,1,type:3,type:3
জানিনা,3,1,1,janina:3,janina:3
জানাবো,3,1,1,janabo:3,janabo:3
জয়েন,3,1,1,join:3,join:3
ছিলাম,3,1,1,chilam:3,chilam:3
গ্যালাক্সি,3,1,1,galaxy:3,galaxy:3
খেললে,3,1,1,khelle:3,khelle:3
কয়েন,3,1,1,coin:3,coin:3
ক্র্যাক,3,1,1,crack:3,crack:3
কোর্স,3,1,1,course:3,course:3
কুইয়েসেন,3,1,1,question:3,question:3
কীবোর্ড,3,1,1,keyboard:3,keyboard:3
কিটক্যাট,3,1,1,kitkat:3,kitkat:3
কিংরুট,3,1,1,kingroot:3,kingroot:3
কাষ্টম,3,1,1,custom:3,custom:3
কারা,3,1,1,kara:3,kara:3
করিয়েন,3,1,1,korian:3,korian:3
করবোনা,3,1,1,korbona:3,korbona:3
কমে,3,1,1,kome:3,kome:3
কপাল,3,1,1,kopal:3,kopal:3
কনটেন্ট,3,1,1,content:3,content:3
ওয়াপকিজ,3,1,1,wapkiz:3,wapkiz:3
এসশট,3,1,1,sshot:3,sshot:3
এমএক্স,3,1,1,mx:3,mx:3
এটাক,3,1,1,attack:3,attack:3
একসেপ্ট,3,1,1,accept:3,accept:3
এইচটিটিপি,3,1,1,http:3,http:3
এইচটিএমএল,3,1,1,html:3,html:3
এইগুলা,3,1,1,eigula:3,eigula:3
ইয়ার,3,1,1,year:3,year:3
ইম্প্রেশন,3,1,1,impression:3,impression:3
আসতে,3,1,1,aste:3,aste:3
আলহামদুলিল্লাহ,3,1,1,alhamdulillah:3,alhamdulillah:3
আপাতত,3,1,1,apatoto:3,apatoto:3
আনলক,3,1,1,unlock:3,unlock:3
আনতে,3,1,1,ante:3,ante:3
আজব,3,1,1,ajob:3,ajob:3
আগেও,3,1,1,ageo:3,ageo:3
আউট,3,1,1,out:3,out:3
আইএমইআই,3,1,1,imei:3,imei:3
অলওয়েজ,3,1,1,always:3,always:3
অফিস,3,1,1,office:3,office:3
অপসন,3,1,1,option:3,option:3
অন্যের,3,1,1,onner:3,onner:3
অথার,3,1,1,author:3,author:3
0095,3,1,1,x0095:3,x0095:3
একই,5,5,0,akoi:1; akte:1; ski:1; eki:1; akoy:1,
বানায়,4,4,0,vanay:1; banayy:1; banayi:1; bana:1,
ডি,4,4,0,id:1; choltechena:1; d:1; niben:1,
টাকে,4,4,0,tak:1; tk:1; tahke:1; takai:1,
করতেছে,4,4,0,kortache:1; kurtice:1; korteche:1; korse:1,
আপনিও,4,4,0,aponio:1; apnio:1; apniu:1; apni:1,
হচ্ছেনা,3,3,0,hochchena:1; hccena:1; hoccena:1,
হওয়া,3,3,0,hoa:1; dore:1; hoya:1,
সিমে,3,3,0,e:1; sim:1; sime:1,
সম্পূর্ণ,3,3,0,sompurno:1; sompurn:1; sompurni:1,
সবচেয়ে,3,3,0,sobceye:1; sobcheye:1; shbcheye:1,
লোড,3,3,0,ad:1; lode:1; load:1,
লিখছেন,3,3,0,likhchen:1; likcen:1; lekcen:1,
বোর্ড,3,3,0,bot:1; boot:1; dinajpur:1,
বেটা,3,3,0,better:1; beta:1; version:1,
বাসা,3,3,0,basa:1; basha:1; vasa:1,
বলছেন,3,3,0,bolchen:1; bolcen:1; bolsen:1,
ফায়ার,3,3,0,install:1; fire:1; ki:1,
পোস্টটি,3,3,0,postii:1; postti:1; posti:1,
পোস্টটা,3,3,0,ta:1; postta:1; posta:1,
পি,3,3,0,kaj:1; speed:1; p:1,
পারতেছি,3,3,0,partechi:1; parte:1; partesi:1,
পাইলেন,3,3,0,painen:1; pailan:1; pailen:1,
নেয়া,3,3,0,newa:1; neya:1; neye:1,
নেওয়া,3,3,0,newya:1; neua:1; nea:1,
দেখছি,3,3,0,dekhsi:1; dekhchi:1; dekci:1,
তাছাড়া,3,3,0,tachara:1; tasara:1; tacara:1,
চালাবো,3,3,0,calabo:1; chalbo:1; chalabo:1,
